column_name,code,value
BANDERA,805,Tokelau
BANDERA,825,Turkmenistán
BANDERA,788,Timor del Este
BANDERA,810,Tonga
BANDERA,815,Trinidad y Toba
BANDERA,820,Túnez
BANDERA,827,Turquía
BANDERA,828,Tuvalu
BANDERA,218,Taiwan
"BANDERA,780,""Tanzania,Repúb"""
BANDERA,833,Uganda
BANDERA,830,Ucrania
BANDERA,566,Islas Ultramari
BANDERA,845,Uruguay
BANDERA,249,Estados Unidos
BANDERA,847,Uzbekistan
BANDERA,159,Santa Sede
BANDERA,705,San Vicente y l
"BANDERA,850,""Venezuela,Repub"""
BANDERA,863,Virgenes Britan
BANDERA,866,Virgenes de los
BANDERA,855,Viet Nam
BANDERA,551,Vanuatu
BANDERA,875,Wallis y Futuna
BANDERA,687,Samoa
BANDERA,1,ZFPE AGROINDUST
BANDERA,2,ZFP EL DORADO S
BANDERA,3,ZFPCA ECOPETROL
BANDERA,4,ZF  CTIC-CENTRO
BANDERA,129,ZFP Zofrandina.
BANDERA,130,ZFPE Colmotores
BANDERA,131,ZFPE Tablemac S
BANDERA,132,ZFPE Fundación
BANDERA,133,ZFPE Aceites Ci
BANDERA,134,ZFPE Puerto Bri
BANDERA,135,ZFPE Clinica Ca
BANDERA,620,ZFPE Puerto Ind
BANDERA,621,ZFP  INTERNACIO
BANDERA,622,ZFPE Fresenius
BANDERA,623,ZFPE Destilería
BANDERA,624,ZFPE Puerto Bah
BANDERA,625,ZFPE Medical DU
BANDERA,626,ZFPE Sociedad P
BANDERA,631,ZFP  Palermo.
BANDERA,633,ZFP  FEMSA
BANDERA,634,ZFPE SYKES.
BANDERA,635,ZFPE Sociedad P
BANDERA,636,ZFPE Termotasaj
BANDERA,637,ZFPE Sociedad P
BANDERA,638,ZFPE GETCOM.
BANDERA,650,ZFPE Centro Hos
BANDERA,651,ZFPE PUERTO MAM
BANDERA,652,ZFP INTERNACION
BANDERA,653,ZFPE AGROINDUST
BANDERA,655,ZFPE Plaza Mayo
BANDERA,656,ZFPE Clínica de
BANDERA,657,ZFPE Clínica Un
BANDERA,791,ZFPE Sociedad P
BANDERA,792,ZFP Repsol Expl
BANDERA,794,ZFPE Empresa Co
BANDERA,795,ZFPE Onelink Co
BANDERA,796,ZFPCA Petrobras
BANDERA,797,ZFPE Impala Ter
BANDERA,902,ZFPE Gecelca 3.
BANDERA,903,ZFPE CEMENTERA
BANDERA,904,ZFPE Estractora
BANDERA,905,ZFPE Olmue.
BANDERA,907,ZFP  Centro Log
BANDERA,911,ZFP de Barranqu
BANDERA,913,ZFP de Palmasec
BANDERA,914,ZFP de Cúcuta
BANDERA,915,ZFP de Santa Ma
BANDERA,916,ZFP de Cartagen
BANDERA,917,ZFP de Rionegro
BANDERA,918,ZFP de la Cande
BANDERA,919,ZFP de Bogotá
BANDERA,920,ZFP de Pacífico
BANDERA,924,ZFP Eje Cafeter
BANDERA,925,ZFPE Cervecería
BANDERA,926,ZFP Agroindustr
BANDERA,928,ZFP La Cayena
BANDERA,929,ZFP Internacion
BANDERA,930,ZFPE BIO D FACA
BANDERA,931,ZFPE Biocombust
BANDERA,933,ZFPE Agroindust
BANDERA,934,ZFP  Parque Ind
BANDERA,935,ZFPE Argos S.A
BANDERA,936,ZFPE Gyplac S.A
BANDERA,937,ZFPE Kcag
BANDERA,939,ZFP Intexzona
BANDERA,940,ZFP Tayrona S.A
BANDERA,941,ZFP de Urabá  S
BANDERA,942,ZFPE Corferias.
BANDERA,943,ZFP Las América
BANDERA,944,ZFPE Ecodiesel
BANDERA,945,ZFPE Estrategia
BANDERA,948,ZFPE Pepsico Al
BANDERA,950,ZFPE de Servici
BANDERA,951,ZFPE Vidrio And
BANDERA,953,ZFPE Refinería
BANDERA,954,ZFP de Occident
BANDERA,955,ZFPE Sociedad P
BANDERA,956,ZFPE de Servici
BANDERA,957,ZFPE Colombina
BANDERA,958,ZFPE Termoflore
BANDERA,959,ZFPE Papelfibra
BANDERA,960,ZFP de Tocancip
BANDERA,961,ZFPE Telemark S
BANDERA,962,ZFPE San Vicent
BANDERA,963,ZFPE Cerámicas
BANDERA,964,ZFPE Papeles de
BANDERA,965,ZFPE Clínica Po
BANDERA,966,ZFP Santander
BANDERA,967,ZFPE Protisa
BANDERA,968,ZFPE Praxair
BANDERA,969,ZFPE Cencauca (
BANDERA,972,ZFPE Econtac
BANDERA,973,ZFPE Clínica lo
BANDERA,974,ZFP Metropolita
BANDERA,976,ZFPE Bioenergy
